sponsor_id|sponsorname|is_district
1|A B VINES MINISTRIES|False
2|A PLACE OF OUR OWN CHILD|False
3|ALBERT EINSTEIN ACADEMIES|False
4|ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)|False
5|ALL ABOUT KIDS PRESCHOOL|False
6|ALL KIDS ACADEMY HEAD START INC.|False
7|AMERICARE ADHC INC |False
8|AMERICA'S FINEST CHARTER  SCHOOL|False
9|AMISTAD CRISTIANA|False
10|ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER |False
11|ATC PACIFIC LLC|False
12|BEACON CLASSICAL ACADEMY, INC.|False
13|BELLA MENTE CHARTER SCHOOL|False
14|BOYS & GIRLS CLUB OF GREATER SAN DIEGO|False
15|BOYS & GIRLS CLUB OF IMPERIAL BEACH |False
16|BOYS & GIRLS CLUBS OF OCEANSIDE, CALIFORNIA, INCORPORATED|False
17|BOYS CLUB OF FALLBROOK|False
18|CA RELIABLE MEDICAL SYSTEMS INC |False
19|CALVIN CHRISTIAN SCHOOL|False
20|CAMP OLIVER, INC.|False
21|CASA DE AMPARO|False
22|CENTER FOR POSITIVE CHANGES INC.|False
23|CENTRO DE SALUD DE LA|False
24|CHICANO FEDERATION OF SAN DIEGO COUNTY INC|False
25|CHILD DEVELOPMENT ASSOC INC |False
26|CHILD NUTRITION PROGRAM OF SOUTHERN CALIFORNIA INC |False
27|CHILDREN OF THE RAINBOW INC|False
28|CHILDRENS CHOICE LEARNING|False
29|CHILDRENS PARADISE INC|False
30|CHRIST GOSPEL TABERNACLE INC|False
31|CHURCH OF COMPASSION DAYSPRING CHRISTIAN LRNING CTR|False
32|CIRCLE OF FRIENDS|False
33|CITY HEIGHTS PREPARATORY CHARTER SCHOOL|False
34|CLAIREMONT VILLA ADHC INC |False
35|COLEMAN TECH CHARTER HIGH SCHOOL|False
36|COLES COTTAGE CHILD CENTER INC|False
37|CORONADO BAPTIST CHURCH|False
38|CSU SAN DIEGO (BEST)|False
39|DINO DAY CARE INC|False
40|EAST SAN DIEGO ASSEMBLY OF GOD|False
41|EDUCATIONAL ENRICHMENT SYSTEMS INC |False
42|EJE ACADEMIES|False
43|EL CAJON WESLEYAN CHURCH |False
44|EMPOWER CHARTER SCHOOL|False
45|EPIPHANY PREP SCHOOL OF SAN DIEGO|False
46|EPISCOPAL COMMUNITY SERVICES |False
47|ESCONDIDO COMMUNITY CHILD DEVELOPMENT CTR|False
48|EXPLORER ELEMENTARY CHARTER SCHOOL|False
49|FALLBROOK CHILD DEVELOP CENTER |False
50|FEEDING AMERICA SAN DIEGO|False
51|GARDEN DAY SCHOOL|False
52|GENAVEVES PLAYHOUSE PRESCHOOL|False
53|GEORGE G GLENNER ALZHEIMERS FM CTR INC|False
54|GIGGLES & SMILES CHILD CARE CENTER  |False
55|GOOD SHEPHERD CATHOLIC SCHOOL|False
56|GROSSMONT CUYAMACA COMMUNITY COLLEGE DISTRICT |False
57|GSCA INC |False
58|GUAJOME PARK ACADEMY INC|False
59|HAGAR & SHRYOCK|False
60|HARRIET TUBMAN VILLAGE CHARTER SCHOOL, INC.|False
61|HAWKING STEAM CHARTER SCHOOLS, INC.|False
62|HEALTHY SOLUTIONS FOR PARENTS|False
63|HEAVEN'S WINDOWS|False
64|HIGHER LEARNING ACADEMY INC|False
65|HOLY TRINITY SCHOOL|False
66|HORIZONS ADHC CENTER INC|False
67|HOWARD GARDNER COMMUNITY SCHOOL|False
68|INTEGRITY CHARTER SCHOOL|False
69|J GELT CORPORATION CASA PACIFICA ADHC|False
70|JENNIFER HOUSE|False
71|KAREN ORGANIZATION OF SAN DIEGO|False
72|KING CHAVEZ ACADEMY OF|False
73|LA JOLLA BAND OF LUISENO|False
74|LEONARDO DA VINCI HEALTH SCIENCES CHARTER SCHOOL|False
75|LIFEBRIDGE CHURCH|False
76|LINERS CORP |False
77|LITTLE BEARS DAYCARE INC|False
78|LOGAN HEIGHTS COMM DEV CORP|False
79|LOVING CARE ADHC LIMITED |False
80|MARANGELYS KIDS INC KIDDIE ACADEMY CHILD CARE CTR|False
81|MARINE CORPS AIR STATION|False
82|MARINE CORPS COMMUNITY SERVICES|False
83|MARTHA'S VILLAGE & KITCHEN INC |False
84|METROPOLITAN AREA ADVISORY COMMITTEE-MAAC-PROJ HEADSTART|False
85|NATIVITY PREP ACADEMY, INC.|False
86|NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS|False
87|NEIGHBORHOOD HOUSE ASSOCIATION |False
88|NEW ALTERNATIVES|False
89|NEW HAVEN YOUTH AND FAMILY SERVICES|False
90|NEXT GENERATION EDUC CTR INC|False
91|NORTH COUNTY COMMUNITY SERVICE |False
92|NORTH COUNTY SERENITY HOUSE INC |False
93|NORTH COUNTY TRADE TECH HIGH SCHOOL|False
94|OAK TREE ACADEMY LLC|False
95|OCEAN BEACH CHILD CARE PROJECT CHILDRENS CIRCLE|False
96|OCEANSIDE SHINING STARS PRESCH|False
97|OPEN ARMS ADHC INC|False
98|OUR LADY SACRED HEART SCHOOL|False
99|PALOMAR COMMUNITY COLLEGE DISTRICT CDC|False
100|PEPPERTREE MONTESSORI INC |False
101|PHOENIX HOUSE SAN DIEGO INC|False
102|PILGRIM UNITED CHURCH OF|False
103|POWAY ADHC CENTER |False
104|POWAY ADHC CENTER, LLC|False
105|PROJECT SELF SUFFICIENCY TREATMENT|False
106|QUALITY CHILDREN'S SERVICES |False
107|RAMONA SENIOR CARE INC |False
108|READY SET GROW|False
109|READY SET GROW LEARNING CENTER|False
110|RISING STAR ACAD CHILDCARE CTR|False
111|SAINT VINCENT DE PAUL VILLAGE|False
112|SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION|False
113|SAN DIEGO CENTER FOR CHILDREN|False
114|SAN DIEGO CO PROBATION DEPT|False
115|SAN DIEGO COMMUNITY COLL DIST |False
116|SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES|False
117|SAN DIEGO COUNTY OFFICE OF EDUCATION|False
118|SAN DIEGO IMPERIAL COUNCIL BSA|False
119|SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION|False
120|SELF DISCOVERY INC|False
121|SHILOAH SPRINGS BIBLE RETREAT|False
122|SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR|False
123|ST DIDACUS SCHOOL|False
124|ST MICHAELS SCHOOL|False
125|ST PATRICKS SCHOOL|False
126|ST RITAS SCHOOL|False
127|SWEET BUSY BEES|False
128|THE VINE LEARNING CENTER|False
129|THRIVE PUBLIC SCHOOLS|False
130|TODDLER TOWN LLC |False
131|TUTOR TIME LEARNING CENTERS LLC|False
132|UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER|False
133|UNIVERSITY OF CALIFORNIA, SAN DIEGO|False
134|UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND|False
135|VISIONS OF GOD CHRISTIAN FELLOWSHIP|False
136|VISTA, CITY OF|False
137|VOLUNTEERS OF AMERICA|False
138|VOLUNTEERS OF AMERICA SOUTHWEST CA CORP|False
139|WESTERN CONSULTING & ANCILLARY SERVICES INC|False
140|YMCA OF SAN DIEGO COUNTY|False
141|YWCA OF SAN DIEGO COUNTY|False
500|ALPINE UNION ELEMENTARY|True
501|BONSALL UNIFIED|True
502|BORREGO SPRINGS UNIFIED|True
503|CAJON VALLEY UNION|True
504|CARDIFF ELEMENTARY|True
505|CARLSBAD UNIFIED|True
506|CHULA VISTA ELEMENTARY|True
507|CORONADO UNIFIED|True
508|DEHESA ELEMENTARY|True
509|DEL MAR UNION ELEMENTARY|True
510|ENCINITAS UNION ELEMENTARY|True
511|ESCONDIDO UNION|True
512|ESCONDIDO UNION HIGH|True
513|FALLBROOK UNION ELEMENTARY|True
514|FALLBROOK UNION HIGH|True
515|GROSSMONT UNION HIGH|True
516|JAMUL-DULZURA UNION ELEMENTARY|True
517|JULIAN UNION ELEMENTARY|True
518|JULIAN UNION HIGH|True
519|LA MESA-SPRING VALLEY|True
520|LAKESIDE UNION ELEMENTARY|True
521|LEMON GROVE|True
522|MOUNTAIN EMPIRE UNIFIED|True
523|NATIONAL ELEMENTARY|True
524|OCEANSIDE UNIFIED|True
525|POWAY UNIFIED|True
526|RAMONA CITY UNIFIED|True
527|SAN DIEGO UNIFIED|True
528|SAN DIEGUITO UNION HIGH|True
529|SAN MARCOS UNIFIED|True
530|SAN PASQUAL UNION ELEMENTARY|True
531|SAN YSIDRO ELEMENTARY|True
532|SANTEE|True
533|SOLANA BEACH ELEMENTARY|True
534|SOUTH BAY UNION|True
535|SWEETWATER UNION HIGH|True
536|VALLECITOS ELEMENTARY|True
537|VALLEY CENTER-PAUMA UNIFIED|True
538|VISTA UNIFIED|True
539|WARNER UNIFIED|True
